"Disc Number","Track Number","Title","Source Filename","Packaged Filename","Duration","Artist","Album Artist","Album","Composer","Publisher","Copyright","Year","Genre","Description","ISRC"
"1","1","Hunker Bunker Main Theme","Hunker Bunker Main Theme.mp3","01 - Hunker Bunker Main Theme.mp3","8:00","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","The original tactical theme that greets operators at the entrance to the deep bio-vaults.",""
"1","2","Safe Haven (Ship Sanctuary)","Safe Haven (Ship Sanctuary).mp3","02 - Safe Haven (Ship Sanctuary).mp3","5:02","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","Warm sanctuary ambience inside the recovery vessel.",""
"1","3","Glacial Depths (Cryo Biome)","Glacial Depths (Cryo Biome).mp3","03 - Glacial Depths (Cryo Biome).mp3","6:13","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","Cold resonant pads echo through the frozen sub-sectors.",""
"1","4","Overgrown Bio-Sphere (Bio Biome)","Overgrown Bio-Sphere (Bio Biome).mp3","04 - Overgrown Bio-Sphere (Bio Biome).mp3","4:13","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","Organic signals and uneasy synthesizers move through the flora sectors.",""
"1","5","Under Siege (Combat Alert)","Under Siege (Combat Alert).mp3","05 - Under Siege (Combat Alert).mp3","5:40","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","Close-quarters tension for threatened and hostile encounters.",""
"1","6","Someone Is Still Alive","Someone Is Still Alive.mp3","06 - Someone Is Still Alive.mp3","4:43","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","A weak signal answers from somewhere beneath the ice.",""
"1","7","Kaelen's Sleeping Machine","Kaelen's Sleeping Machine.mp3","07 - Kaelens Sleeping Machine.mp3","2:58","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","A dormant machine dreams in diagnostic pulses.",""
"1","8","The Math Is Beautiful Now","The Math Is Beautiful Now.mp3","08 - The Math Is Beautiful Now.mp3","4:19","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","Order emerges from the bunker’s impossible calculations.",""
"1","9","Warmth Beneath the Ice","Warmth Beneath the Ice.mp3","09 - Warmth Beneath the Ice.mp3","3:29","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","A fragile refuge glows below the frozen surface.",""
"1","10","The Pipes Are Singing","The Pipes Are Singing.mp3","10 - The Pipes Are Singing.mp3","5:05","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","Steam and pressure turn old conduits into an instrument.",""
"1","11","Briggs Keeps the Ledger","Briggs Keeps the Ledger.mp3","11 - Briggs Keeps the Ledger.mp3","3:27","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","Every favor, ration, and betrayal remains accounted for.",""
"1","12","Your Name Was Written Twice","Your Name Was Written Twice.mp3","12 - Your Name Was Written Twice.mp3","3:58","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","The personnel archive contains one identity too many.",""
"1","13","Dr. Nahl Remembers the Tissue","Dr. Nahl Remembers the Tissue.mp3","13 - Dr Nahl Remembers the Tissue.mp3","4:10","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","The laboratory recalls what its surgeon tried to forget.",""
"1","14","Mothership Customer Support","Mothership Customer Support.mp3","14 - Mothership Customer Support.mp3","3:26","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","An automated voice offers help from very far away.",""
"1","15","Mothership Is Not Feeling Well","Mothership Is Not Feeling Well.mp3","15 - Mothership Is Not Feeling Well.mp3","3:00","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","The orbital intelligence reports symptoms of its own.",""
"1","16","Her Voice Inside Your Helmet","Her Voice Inside Your Helmet.mp3","16 - Her Voice Inside Your Helmet.mp3","3:20","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","A private transmission crosses the suit’s sealed channel.",""
"1","17","The Queen Makes a Reasonable Offer","The Queen Makes a Reasonable Offer.mp3","17 - The Queen Makes a Reasonable Offer.mp3","3:53","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","Diplomacy arrives wearing an unfamiliar shape.",""
"1","18","A Snail Blocks the Hallway","A Snail Blocks the Hallway.mp3","18 - A Snail Blocks the Hallway.mp3","3:29","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","A small obstacle becomes an unexpected negotiation.",""
"1","19","Cold Enough to Think","Cold Enough to Think.mp3","19 - Cold Enough to Think.mp3","4:59","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","The cryogenic dark sharpens every dangerous thought.",""
"1","20","The Spores Know Your Name","The Spores Know Your Name.mp3","20 - The Spores Know Your Name.mp3","4:38","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","The bloom recognizes the visitor before they speak.",""
"1","21","We Could Avoid Doing This","We Could Avoid Doing This.mp3","21 - We Could Avoid Doing This.mp3","4:30","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","One final pause before a preventable confrontation.",""
"1","22","It Understands the Gun","It Understands the Gun.mp3","22 - It Understands the Gun.mp3","5:06","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","The creature reads the threat perfectly.",""
"1","23","The Creature Lets You Pass","The Creature Lets You Pass.mp3","23 - The Creature Lets You Pass.mp3","3:23","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","The corridor opens without a shot being fired.",""
"1","24","Meridian Remembers You","Meridian Remembers You.mp3","24 - Meridian Remembers You.mp3","2:45","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","A camp recognizes the operator who returned.",""
"1","25","Tallow Keeps the Steam","Tallow Keeps the Steam.mp3","25 - Tallow Keeps the Steam.mp3","3:44","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","The settlement survives by tending its ancient heat.",""
"1","26","Vesper Sleeps in Shifts","Vesper Sleeps in Shifts.mp3","26 - Vesper Sleeps in Shifts.mp3","4:44","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","No one rests while the perimeter lights are failing.",""
"1","27","You Robbed the Only People Left","You Robbed the Only People Left.mp3","27 - You Robbed the Only People Left.mp3","2:52","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","The cost of survival is entered into the record.",""
"1","28","They Still Have Their Faces","They Still Have Their Faces.mp3","28 - They Still Have Their Faces.mp3","1:52","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","The changed survivors remain painfully recognizable.",""
"1","29","Nobody Says Goodbye","Nobody Says Goodbye.mp3","29 - Nobody Says Goodbye.mp3","6:43","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","A camp falls silent without ceremony.",""
"1","30","Gigawatt Goliath","Gigawatt Goliath.mp3","30 - Gigawatt Goliath.mp3","2:55","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","A colossal electrical weapon wakes in the dark.",""
"1","31","Absolute Zero Has a Shell","Absolute Zero Has a Shell.mp3","31 - Absolute Zero Has a Shell.mp3","5:40","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","An armored cold front advances through the bunker.",""
"1","32","The Bloom That Hunts","The Bloom That Hunts.mp3","32 - The Bloom That Hunts.mp3","5:20","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","The overgrowth abandons its roots and gives chase.",""
"1","33","Martha Runs Faster Now","Martha Runs Faster Now.mp3","33 - Martha Runs Faster Now.mp3","3:55","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","Reconstruction turns a familiar survivor into a pursuer.",""
"1","34","Briggs Became the Barricade","Briggs Became the Barricade.mp3","34 - Briggs Became the Barricade.mp3","4:05","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","The keeper of the ledger makes his final stand.",""
"1","35","Kaelen Is the Grid","Kaelen Is the Grid.mp3","35 - Kaelen Is the Grid.mp3","3:18","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","A human mind spreads through the bunker circuitry.",""
"1","36","Mother of the Last World","Mother of the Last World.mp3","36 - Mother of the Last World.mp3","3:57","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","The final intelligence claims everything beneath the ice.",""
"1","37","Black Box Stain","Black Box Stain.mp3","37 - Black Box Stain.mp3","1:32","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","The recovered recording leaves a mark of its own.",""
"1","38","The Cave Was Breathing","The Cave Was Breathing.mp3","38 - The Cave Was Breathing.mp3","6:06","Government Name","Government Name","Hunker Bunker (Original Game Soundtrack)","Government Name","Tuesday Cinema Club","© 2026 Tuesday Cinema Club","2026","Video Game Soundtrack","The walls reveal the slow rhythm inside them.",""
