"Disc Number","Track Number","Original Name","Original Name Language (ie., ""es"", ""jp"") (optional)","International Name (optional)","Duration (""m:ss"")","ISRC (optional)"
1,1,"Hunker Bunker Main Theme",en,"Hunker Bunker Main Theme",8:00,
1,2,"Safe Haven (Ship Sanctuary)",en,"Safe Haven (Ship Sanctuary)",5:02,
1,3,"Glacial Depths (Cryo Biome)",en,"Glacial Depths (Cryo Biome)",6:13,
1,4,"Overgrown Bio-Sphere (Bio Biome)",en,"Overgrown Bio-Sphere (Bio Biome)",4:13,
1,5,"Under Siege (Combat Alert)",en,"Under Siege (Combat Alert)",5:40,
1,6,"Someone Is Still Alive",en,"Someone Is Still Alive",4:43,
1,7,"Kaelen's Sleeping Machine",en,"Kaelen's Sleeping Machine",2:58,
1,8,"The Math Is Beautiful Now",en,"The Math Is Beautiful Now",4:19,
1,9,"Warmth Beneath the Ice",en,"Warmth Beneath the Ice",3:29,
1,10,"The Pipes Are Singing",en,"The Pipes Are Singing",5:05,
1,11,"Briggs Keeps the Ledger",en,"Briggs Keeps the Ledger",3:27,
1,12,"Your Name Was Written Twice",en,"Your Name Was Written Twice",3:58,
1,13,"Dr. Nahl Remembers the Tissue",en,"Dr. Nahl Remembers the Tissue",4:10,
1,14,"Mothership Customer Support",en,"Mothership Customer Support",3:26,
1,15,"Mothership Is Not Feeling Well",en,"Mothership Is Not Feeling Well",3:00,
1,16,"Her Voice Inside Your Helmet",en,"Her Voice Inside Your Helmet",3:20,
1,17,"The Queen Makes a Reasonable Offer",en,"The Queen Makes a Reasonable Offer",3:53,
1,18,"A Snail Blocks the Hallway",en,"A Snail Blocks the Hallway",3:29,
1,19,"Cold Enough to Think",en,"Cold Enough to Think",4:59,
1,20,"The Spores Know Your Name",en,"The Spores Know Your Name",4:38,
1,21,"We Could Avoid Doing This",en,"We Could Avoid Doing This",4:30,
1,22,"It Understands the Gun",en,"It Understands the Gun",5:06,
1,23,"The Creature Lets You Pass",en,"The Creature Lets You Pass",3:23,
1,24,"Meridian Remembers You",en,"Meridian Remembers You",2:45,
1,25,"Tallow Keeps the Steam",en,"Tallow Keeps the Steam",3:44,
1,26,"Vesper Sleeps in Shifts",en,"Vesper Sleeps in Shifts",4:44,
1,27,"You Robbed the Only People Left",en,"You Robbed the Only People Left",2:52,
1,28,"They Still Have Their Faces",en,"They Still Have Their Faces",1:52,
1,29,"Nobody Says Goodbye",en,"Nobody Says Goodbye",6:43,
1,30,"Gigawatt Goliath",en,"Gigawatt Goliath",2:55,
1,31,"Absolute Zero Has a Shell",en,"Absolute Zero Has a Shell",5:40,
1,32,"The Bloom That Hunts",en,"The Bloom That Hunts",5:20,
1,33,"Martha Runs Faster Now",en,"Martha Runs Faster Now",3:55,
1,34,"Briggs Became the Barricade",en,"Briggs Became the Barricade",4:05,
1,35,"Kaelen Is the Grid",en,"Kaelen Is the Grid",3:18,
1,36,"Mother of the Last World",en,"Mother of the Last World",3:57,
1,37,"Black Box Stain",en,"Black Box Stain",1:32,
1,38,"The Cave Was Breathing",en,"The Cave Was Breathing",6:06,
1,39,"Four Seats, One Survivor",en,"Four Seats, One Survivor",5:26,
1,40,"Contraband Sunrise",en,"Contraband Sunrise",4:03,
1,41,"We Escaped Together, Technically",en,"We Escaped Together, Technically",3:51,
1,42,"The Ice Gets Smaller",en,"The Ice Gets Smaller",4:35,
1,43,"Destination: Core Worlds",en,"Destination: Core Worlds",2:48,
